HE InChI=1S/He
C3H5-T InChI=1S/C3H5/c1-3-2/h1H2,2H3
C3H5-S InChI=1S/C3H5/c1-3-2/h1,3H,2H3
C3H4-P InChI=1S/C3H4/c1-3-2/h1H,2H3
SC3H5OO InChI=1S/C3H5O2/c1-2-3-5-4/h2-3H,1H3
CH3CCHO InChI=1S/C3H4O/c1-2-3-4/h3H,1H3
CH2CHOCHO InChI=1S/C3H4O2/c1-2-5-3-4/h2-3H,1H2
CH3COCHO InChI=1S/C3H4O2/c1-3(5)2-4/h2H,1H3
TC3H5OO InChI=1S/C3H5O2/c1-3(2)5-4/h1H2,2H3
CH2CCO InChI=1S/C3H2O/c1-2-3-4/h1H2
CH2COCH2 InChI=1S/C3H4O/c1-3(2)4/h1-2H2
CH3COCH InChI=1S/C3H4O/c1-3(2)4/h1H,2H3
CH2CHOCO InChI=1S/C3H3O2/c1-2-5-3-4/h2H,1H2
CH2CHCHOH InChI=1S/C3H5O/c1-2-3-4/h2-4H,1H2
AC4H7OOH InChI=1S/C4H8O2/c1-3-4-6-5-2/h3H,1,4H2,2H3
C3H5OH InChI=1S/C3H6O/c1-2-3-4/h2,4H,1,3H2
IC3H5OH InChI=1S/C3H6O/c1-3(2)4/h4H,1H2,2H3
C3H6OH1-2 InChI=1S/C3H7O/c1-2-3-4/h2,4H,3H2,1H3
C3H6OH2-1 InChI=1S/C3H7O/c1-3(2)4/h3-4H,1H2,2H3
C3H4O1-2 InChI=1S/C3H4O/c1-3-2-4-3/h1-2H2
PC3H4OH-2 InChI=1S/C3H5O/c1-2-3-4/h3-4H,1H3
CH2CCH2OH InChI=1S/C3H5O/c1-2-3-4/h4H,1,3H2
C3H5O31 InChI=1S/C3H5O3/c1-3(2-4)6-5/h4H,1-2H2
HOCH2CO InChI=1S/C2H3O2/c3-1-2-4/h3H,1H2
C3H5O32 InChI=1S/C3H5O3/c1-3(2-4)6-5/h5H,1-2H2
SC3H4OH InChI=1S/C3H5O/c1-3(2)4/h4H,1-2H2
CH2COHCH2O InChI=1S/C3H5O2/c1-3(5)2-4/h5H,1-2H2
CH2COHCH2OOH InChI=1S/C3H6O3/c1-3(4)2-6-5/h4-5H,1-2H2
CH2COHCHO InChI=1S/C3H4O2/c1-3(5)2-4/h2,5H,1H2
SC2H2OH InChI=1S/C2H3O/c1-2-3/h3H,1H2
CH2COOHCH2 InChI=1S/C3H5O2/c1-3(2)5-4/h4H,1-2H2
CH2CCH2OOH InChI=1S/C3H5O2/c1-2-3-5-4/h4H,1,3H2
CH2CHCH2OO InChI=1S/C3H5O2/c1-2-3-5-4/h2H,1,3H2
CCY(CCOO) InChI=1S/C3H5O2/c1-3-2-4-5-3/h3H,1-2H2
CY(CCCOO) InChI=1S/C3H5O2/c1-2-4-5-3-1/h1H,2-3H2
CY(CCO)CO InChI=1S/C3H5O2/c4-1-3-2-5-3/h3H,1-2H2
CH2COOCH2OOH InChI=1S/C3H5O4/c1-3(7-5)2-6-4/h4H,1-2H2
CH2COOHCH2OO InChI=1S/C3H5O4/c1-3(7-5)2-6-4/h5H,1-2H2
CH2COOHCHO InChI=1S/C3H4O3/c1-3(2-4)6-5/h2,5H,1H2
CH2COCHO InChI=1S/C3H3O2/c1-3(5)2-4/h2H,1H2
CH2COOHCH2OOH InChI=1S/C3H6O4/c1-3(7-5)2-6-4/h4-5H,1-2H2
CH2COOHCHOH InChI=1S/C3H5O3/c1-3(2-4)6-5/h2,4-5H,1H2
C3H4O21-2 InChI=1S/C3H4O2/c1-2-3(4)5-2/h3-4H,1H2
C2HCHO InChI=1S/C3H2O/c1-2-3-4/h1,3H
C3H2 InChI=1S/C3H2/c1-3-2/h1-2H
CC3H4 InChI=1S/C3H4/c1-2-3-1/h1-2H,3H2
C4H4 InChI=1S/C4H4/c1-3-4-2/h1,4H,2H2
CH3CCO InChI=1S/C3H3O/c1-2-3-4/h1H3
C3H3O InChI=1S/C3H3O/c1-2-3-4/h3H,1H2
CH3COH InChI=1S/C3H6O/c1-2-3-4/h4H,3H2,1H3
CH3C(OH)CH InChI=1S/C3H5O/c1-3(2)4/h1,4H,2H3
PC3H4OH-1 InChI=1S/C3H5O/c1-2-3-4/h2,4H,1H3
C3H2C InChI=1S/C3H2/c1-2-3-1/h1-2H
C4H3-N InChI=1S/C4H3/c1-3-4-2/h1-3H
C3H3O2H InChI=1S/C3H4O2/c1-2-3-5-4/h3-4H,1H2
C3H2(S) SINGLET_InChI=1S/C3H2/c1-3-2/h1-2H
H2CCC(S) InChI=1S/C3H2/c1-3-2/h1H2
C4H5-2C2H InChI=1S/C6H6/c1-4-6(3)5-2/h1,5H,2-3H2
FULVENE InChI=1S/C6H6/c1-6-4-2-3-5-6/h2-5H,1H2
CHCCH2CH2CHCH2 InChI=1S/C6H8/c1-3-5-6-4-2/h1,4H,2,5-6H2
CH2CCHCH2CHCH2 InChI=1S/C6H8/c1-3-5-6-4-2/h3,6H,1-2,5H2
C6H6 InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H
C6H5 InChI=1S/C6H5/c1-2-4-6-5-3-1/h1-5H
CH2OOHCHCO InChI=1S/C3H4O3/c4-2-1-3-6-5/h1,5H,3H2
CH2OCHCO InChI=1S/C3H3O2/c4-2-1-3-5/h1H,2H2
C3H6OH1-3 InChI=1S/C3H7O/c1-2-3-4/h4H,1-3H2
C3H6OH1-1 InChI=1S/C3H7O/c1-2-3-4/h3-4H,2H2,1H3
TQJC3H6OH InChI=1S/C3H7O3/c1-3(2-4)6-5/h3-4H,2H2,1H3
C3H6OH-1O2 InChI=1S/C3H7O3/c1-2-3(4)6-5/h3-4H,2H2,1H3
C3H6OH-3O2 InChI=1S/C3H7O3/c4-2-1-3-6-5/h4H,1-3H2
TQC3H6OI InChI=1S/C3H7O3/c1-3(2-4)6-5/h3,5H,2H2,1H3
QC3H5OHP InChI=1S/C3H7O3/c1-3(2-4)6-5/h3-5H,1-2H2
TQC3H5OHI InChI=1S/C3H7O3/c1-3(2-4)6-5/h2-5H,1H3
CY(COC)COH InChI=1S/C3H6O2/c4-1-3-2-5-3/h3-4H,1-2H2
CCY(COC)OH InChI=1S/C3H6O2/c1-2-3(4)5-2/h2-4H,1H3
QC3H5OHPO2 InChI=1S/C3H7O5/c4-1-3(8-6)2-7-5/h3-4,6H,1-2H2
C3H4OHOOH1-3-2 InChI=1S/C3H6O3/c1-3(2-4)6-5/h4-5H,1-2H2
C3H4OH1KT2-3 InChI=1S/C3H6O4/c4-1-3(5)2-7-6/h4,6H,1-2H2
C3H6OH-3OOH-1 InChI=1S/C3H7O3/c4-2-1-3-6-5/h2,4-5H,1,3H2
C3H6OH-3OOH-1O2 InChI=1S/C3H7O5/c4-3(8-6)1-2-7-5/h3-5H,1-2H2
C3OHKET3-1 InChI=1S/C3H6O4/c4-2-1-3(5)7-6/h2-3,5-6H,1H2
TC3H6OH InChI=1S/C3H7O/c1-3(2)4/h4H,1-2H3
IQJC3H6OH InChI=1S/C3H7O3/c1-3(4)2-6-5/h3-4H,2H2,1H3
IQC3H5OHPJC InChI=1S/C3H7O3/c1-3(4)2-6-5/h4-5H,2H2,1H3
IQC3H6OT InChI=1S/C3H7O3/c1-3(4)2-6-5/h3,5H,2H2,1H3
IQC3H5OHPJ InChI=1S/C3H7O3/c1-3(4)2-6-5/h3-5H,1-2H2
C(OH)CY(COC) InChI=1S/C3H6O2/c1-3(4)2-5-3/h4H,2H2,1H3
CY(CCOC)OH InChI=1S/C3H6O2/c4-3-1-5-2-3/h3-4H,1-2H2
CHOCOHCH3 InChI=1S/C3H6O2/c1-3(5)2-4/h2-3,5H,1H3
TQC3H5OHIO2 InChI=1S/C3H7O5/c1-2(7-5)3(4)8-6/h2-5H,1H3
TQC3H5OHIQ-I InChI=1S/C3H7O5/c1-2(7-5)3(4)8-6/h2-3,5-6H,1H3
TQC3H5OHIQ-P InChI=1S/C3H7O5/c1-2(7-5)3(4)8-6/h2-6H,1H2
C2H3COHOOH InChI=1S/C3H6O3/c1-2-3(4)6-5/h2-5H,1H2
COHOOHCY(COC) InChI=1S/C3H6O4/c4-3(7-5)2-1-6-2/h2-5H,1H2
OHCY(COCC)OOH InChI=1S/C3H6O4/c4-3-2(7-5)1-6-3/h2-5H,1H2
TQC3H5OHTO2 InChI=1S/C3H7O5/c1-2(7-5)3(4)8-6/h2-4,6H,1H3
OHCOCOOHCH3 InChI=1S/C3H6O4/c1-2(7-6)3(4)5/h2,6H,1H3,(H,4,5)
IQC3H5OHPJO2 InChI=1S/C3H7O5/c4-3(1-7-5)2-8-6/h3-5H,1-2H2
IQC3H5OTQ-I InChI=1S/C3H7O5/c4-3(1-7-5)2-8-6/h3,5-6H,1-2H2
IQC3H5OHQ-SJ InChI=1S/C3H7O5/c4-3(1-7-5)2-8-6/h1,3-6H,2H2
CHOCOHCH2OOH InChI=1S/C3H6O4/c4-1-3(5)2-7-6/h1,3,5-6H,2H2
CH3COCH2O2 InChI=1S/C3H5O3/c1-3(4)2-6-5/h2H2,1H3
CH2OHCHCHO InChI=1S/C3H5O2/c4-2-1-3-5/h1-2,5H,3H2
CH3COHCO InChI=1S/C3H4O2/c1-3(5)2-4/h5H,1H3
CH2OHCH(OO)CHO InChI=1S/C3H5O4/c4-1-3(2-5)7-6/h1,3,5H,2H2
CH2OHCH(OOH)CO InChI=1S/C3H5O4/c4-1-3(2-5)7-6/h3-4,6H,1H2
CH2OCH(OOH)CHO InChI=1S/C3H5O4/c4-1-3(2-5)7-6/h1,3,6H,2H2
HOCH2CHO InChI=1S/C2H4O2/c3-1-2-4/h1,4H,2H2
C3H4OH1-OO3 InChI=1S/C3H5O3/c1-2-3(4)6-5/h2-4H,1H2
C2H3CHOHOJ InChI=1S/C3H6O2/c1-2-3(4)5/h2-5H,1H2
C2H3COOH InChI=1S/C3H4O2/c1-2-3(4)5/h2H,1H2,(H,4,5)
C2H5COCH2 InChI=1S/C4H7O/c1-3-4(2)5/h2-3H2,1H3
NC4KET21 InChI=1S/C4H8O3/c1-2-4(5)3-7-6/h6H,2-3H2,1H3
NC3H7COCH2 InChI=1S/C5H9O/c1-3-4-5(2)6/h2-4H2,1H3
NC5KET21 InChI=1S/C5H10O3/c1-2-3-5(6)4-8-7/h7H,2-4H2,1H3
NC3H7CO InChI=1S/C4H7O/c1-2-3-4-5/h2-3H2,1H3
C6Y2-1J InChI=1S/C6H11O/c1-3-4-5-6(2)7/h2-5H2,1H3
C6KET21 InChI=1S/C6H12O3/c1-2-3-4-6(7)5-9-8/h8H,2-5H2,1H3
PC4H9CO InChI=1S/C5H9O/c1-2-3-4-5-6/h2-4H2,1H3
C2H5CO3 InChI=1S/C3H5O3/c1-2-3(4)6-5/h2H2,1H3
C2H5CO3H InChI=1S/C3H6O3/c1-2-3(4)6-5/h5H,2H2,1H3
CH3CH(OO)CHO InChI=1S/C3H5O3/c1-3(2-4)6-5/h2-3H,1H3
O2CH2CH2CHO InChI=1S/C3H5O3/c4-2-1-3-6-5/h2H,1,3H2
QCH3CHCO3H InChI=1S/C3H5O3/c1-2-3(4)6-5/h2,5H,1H3
QCH2CH2CO3H InChI=1S/C3H5O3/c1-2-3(4)6-5/h5H,1-2H2
QCH3CH(OOH)CO InChI=1S/C3H5O3/c1-3(2-4)6-5/h3,5H,1H3
QHO2CH2CHCHO InChI=1S/C3H5O3/c4-2-1-3-6-5/h1-2,5H,3H2
QHO2CH2CH2CO InChI=1S/C3H5O3/c4-2-1-3-6-5/h5H,1,3H2
CH3#CHCOO# InChI=1S/C3H4O2/c1-2-3(4)5-2/h2H,1H3
CCH2COOCH2# InChI=1S/C3H4O2/c4-3-1-2-5-3/h1-2H2
CYC2H3OCHO InChI=1S/C3H4O2/c4-1-3-2-5-3/h1,3H,2H2
C3H6O3 InChI=1S/C3H6O3/c1-4-2-6-3-5-1/h1-3H2
C4H8OOH1-3 InChI=1S/C4H9O2/c1-2-3-4-6-5/h2,5H,3-4H2,1H3
C4H8OOH2-4 InChI=1S/C4H9O2/c1-3-4(2)6-5/h4-5H,1,3H2,2H3
C4H10 InChI=1S/C4H10/c1-3-4-2/h3-4H2,1-2H3
PC4H9 InChI=1S/C4H9/c1-3-4-2/h1,3-4H2,2H3
SC4H9 InChI=1S/C4H9/c1-3-4-2/h3H,4H2,1-2H3
C4H8OOH1-2 InChI=1S/C4H9O2/c1-2-3-4-6-5/h3,5H,2,4H2,1H3
C4H8OOH1-2O2 InChI=1S/C4H9O4/c1-2-4(8-6)3-7-5/h4-5H,2-3H2,1H3
C4H8OOH1-3O2 InChI=1S/C4H9O4/c1-4(8-6)2-3-7-5/h4-5H,2-3H2,1H3
C4H8OOH1-4 InChI=1S/C4H9O2/c1-2-3-4-6-5/h5H,1-4H2
C4H8OOH1-4O2 InChI=1S/C4H9O4/c5-7-3-1-2-4-8-6/h5H,1-4H2
C4H8OOH2-1 InChI=1S/C4H9O2/c1-3-4(2)6-5/h4-5H,2-3H2,1H3
C4H8OOH2-1O2 InChI=1S/C4H9O4/c1-2-4(8-6)3-7-5/h4,6H,2-3H2,1H3
C4H8OOH2-3 InChI=1S/C4H9O2/c1-3-4(2)6-5/h3-5H,1-2H3
C4H8OOH2-3O2 InChI=1S/C4H9O4/c1-3(7-5)4(2)8-6/h3-5H,1-2H3
C4H8OOH2-4O2 InChI=1S/C4H9O4/c1-4(8-6)2-3-7-5/h4,6H,2-3H2,1H3
PC4H9O2 InChI=1S/C4H9O2/c1-2-3-4-6-5/h2-4H2,1H3
PC4H9O2H InChI=1S/C4H10O2/c1-2-3-4-6-5/h5H,2-4H2,1H3
SC4H9O2 InChI=1S/C4H9O2/c1-3-4(2)6-5/h4H,3H2,1-2H3
SC4H9O2H InChI=1S/C4H10O2/c1-3-4(2)6-5/h4-5H,3H2,1-2H3
IC4H9O2 InChI=1S/C4H9O2/c1-4(2)3-6-5/h4H,3H2,1-2H3
IC4H9O2H InChI=1S/C4H10O2/c1-4(2)3-6-5/h4-5H,3H2,1-2H3
TC4H9O2 InChI=1S/C4H9O2/c1-4(2,3)6-5/h1-3H3
TC4H9O2H InChI=1S/C4H10O2/c1-4(2,3)6-5/h5H,1-3H3
C4H72-1OOH InChI=1S/C4H8O2/c1-2-3-4-6-5/h2-3,5H,4H2,1H3
C4H71-4OOH InChI=1S/C4H8O2/c1-2-3-4-6-5/h2,5H,1,3-4H2
C4H71-3OOH InChI=1S/C4H8O2/c1-3-4(2)6-5/h3-5H,1H2,2H3
NC4KET12 InChI=1S/C4H8O3/c1-2-4(3-5)7-6/h3-4,6H,2H2,1H3
NC4KET13 InChI=1S/C4H8O3/c1-4(7-6)2-3-5/h3-4,6H,2H2,1H3
NC4KET14 InChI=1S/C4H8O3/c5-3-1-2-4-7-6/h3,6H,1-2,4H2
NC4KET23 InChI=1S/C4H8O3/c1-3(5)4(2)7-6/h4,6H,1-2H3
NC4KET24 InChI=1S/C4H8O3/c1-4(5)2-3-7-6/h6H,2-3H2,1H3
C4H71-3,4OOH InChI=1S/C4H9O4/c1-2-4(8-6)3-7-5/h4-6H,1-3H2
C4H72-3,4OOH InChI=1S/C4H9O4/c1-2-4(8-6)3-7-5/h2,4-6H,3H2,1H3
C4H71-2,4OOH InChI=1S/C4H9O4/c1-4(8-6)2-3-7-5/h4-6H,1-3H2
C4H72-1,3OOH InChI=1S/C4H9O4/c1-4(8-6)2-3-7-5/h2,4-6H,3H2,1H3
C4H72-1,4OOH InChI=1S/C4H9O4/c5-7-3-1-2-4-8-6/h1,5-6H,2-4H2
C4H71-2,3OOH InChI=1S/C4H9O4/c1-3(7-5)4(2)8-6/h3-6H,1H2,2H3
PC4H9O InChI=1S/C4H9O/c1-2-3-4-5/h2-4H2,1H3
SC4H9O InChI=1S/C4H9O/c1-3-4(2)5/h4H,3H2,1-2H3
C4H7O1-3OOH-4 InChI=1S/C4H8O3/c5-7-3-4-1-2-6-4/h4-5H,1-3H2
C4H7O1-4OOH-2 InChI=1S/C4H8O3/c5-7-4-1-2-6-3-4/h4-5H,1-3H2
C4H7O2-3OOH-1 InChI=1S/C4H8O3/c1-3-4(7-3)2-6-5/h3-5H,2H2,1H3
C4H7O1-3OOH-2 InChI=1S/C4H8O3/c1-3-4(7-5)2-6-3/h3-5H,2H2,1H3
C4H7O1-2OOH-4 InChI=1S/C4H8O3/c5-7-2-1-4-3-6-4/h4-5H,1-3H2
C4H7O1-2OOH-3 InChI=1S/C4H8O3/c1-3(7-5)4-2-6-4/h3-5H,2H2,1H3
OCH2CHO InChI=1S/C2H3O2/c3-1-2-4/h1H,2H2
C4H8-1 InChI=1S/C4H8/c1-3-4-2/h3H,1,4H2,2H3
C4H8-2 InChI=1S/C4H8/c1-3-4-2/h3-4H,1-2H3
C4H71-3 InChI=1S/C4H7/c1-3-4-2/h3-4H,1H2,2H3
C4H71-O InChI=1S/C4H7O/c1-3-4(2)5/h3-4H,1H2,2H3
C4H8O1-2 InChI=1S/C4H8O/c1-2-4-3-5-4/h4H,2-3H2,1H3
C4H8O1-3 InChI=1S/C4H8O/c1-4-2-3-5-4/h4H,2-3H2,1H3
C4H8O1-4 InChI=1S/C4H8O/c1-2-4-5-3-1/h1-4H2
C4H8O2-3 InChI=1S/C4H8O/c1-3-4(2)5-3/h3-4H,1-2H3
C2H5COCH3 InChI=1S/C4H8O/c1-3-4(2)5/h3H2,1-2H3
CH2CH2COCH3 InChI=1S/C4H7O/c1-3-4(2)5/h1,3H2,2H3
